,aspect,document,sentiment
1151,SOFTWARE#OPERATION_PERFORMANCE,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",positive
1152,LAPTOP#GENERAL,I would buy one of these for every person in my office if I could.,positive
1153,LAPTOP#USABILITY,"In my line of work, I often have to take work home, and this makes it so easy.",positive
1154,KEYBOARD#DESIGN_FEATURES,"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",positive
1155,SUPPORT#QUALITY,"The apple care has never failed me, and I expect it to be the same for this computer as well.",positive
1156,COMPANY#GENERAL,I will only buy apple laptops from now on.,positive
1157,LAPTOP#MISCELLANEOUS,"Great laptop for school, easy to use for beginners in the household.",positive
1158,KEYBOARD#GENERAL,Keyboard is great but primary and secondary control buttons could be more durable.,positive
1159,BATTERY#OPERATION_PERFORMANCE,Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,neutral
1160,LAPTOP#GENERAL,My MacBook Pro has been a huge disappointment.,negative
1161,LAPTOP#QUALITY,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",negative
1162,BATTERY#OPERATION_PERFORMANCE,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",negative
1163,LAPTOP#GENERAL,I would not recommend this product to anyone.,negative
1164,DISPLAY#GENERAL,"Screen is awesome, battery life is good.",positive
1165,LAPTOP#QUALITY,Really like the textured surface which shows no fingerprints.,positive
1166,LAPTOP#GENERAL,Good laptop for the money.,positive
1167,MULTIMEDIA_DEVICES#QUALITY,"Speakers don't get that loud, but good enough.",neutral
1168,,I can't imagine EVER buying a PC again!,
1169,,I have had a Mac for 6 years and won't go back to PC.,
1170,LAPTOP#OPERATION_PERFORMANCE,They don't crash.,positive
1171,LAPTOP#OPERATION_PERFORMANCE,"If a website ever freezes (which is rare), its really easy to force quit.",positive
1172,LAPTOP#QUALITY,Never been hacked.,positive
1173,LAPTOP#QUALITY,No viruses.,positive
1174,SUPPORT#QUALITY,"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",positive
1175,LAPTOP#USABILITY,A mac is very easy to use and it simply makes sense.,positive
1176,LAPTOP#GENERAL,Its also FUN to use!,positive
1177,SOFTWARE#GENERAL,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",positive
1178,,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,
1179,SOFTWARE#USABILITY,She said its very user friendly.,positive
1180,,"I have had another Mac, but it got slow due to an older operating system.",
1181,LAPTOP#GENERAL,"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",positive
1182,LAPTOP#PRICE,"I am very happy I bought this Mac, well worth the extra money.",neutral
1183,,I simply got tired of a bad computer like windows with its constant freezing and anti-virus.,
1184,,I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,
1185,LAPTOP#GENERAL,Now that I have it I see that I really needed this for much more.,positive
1186,LAPTOP#OPERATION_PERFORMANCE,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",positive
1187,SOFTWARE#OPERATION_PERFORMANCE,I have not had a problem with the applications quitting or freezing.,positive
1188,LAPTOP#OPERATION_PERFORMANCE,I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,positive
1189,,"Take the simple, easy solution to your computer problems and stop waiting and smacking your old computer around.",
1190,,I've had my Macbook Pro since August 2009.,
1191,,"Prior to this computer, I owned a PowerBook G4 for 6 years (quite a long time for a laptop).",
1192,COMPANY#GENERAL,That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.,positive
1193,LAPTOP#GENERAL,My MacBook Pro is no exception.,positive
1194,,On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,
1195,MOUSE#USABILITY,Since I've had this computer I've only used the trackpad because it is so nice and smooth.,positive
1196,MOUSE#OPERATION_PERFORMANCE,I also like that you can scroll down in a window using two fingers on the trackpad.,positive
1197,,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",
1198,SOFTWARE#GENERAL,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",positive
1199,,"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",
1200,,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,
1201,LAPTOP#GENERAL,I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,positive
1202,LAPTOP#GENERAL,Shiny,positive
1203,LAPTOP#GENERAL,This Laptop is the Best of the best!,positive
1204,LAPTOP#GENERAL,The Awesomest of the awesomest.,positive
1205,LAPTOP#GENERAL,"It is so great, I can Hardly ever take my hands off it!",positive
1206,LAPTOP#GENERAL,My friends are in awe every time they come over!,positive
1207,LAPTOP#GENERAL,"I got it for Christmas, and I was so excited to set it up!",positive
1208,LAPTOP#OPERATION_PERFORMANCE,"It is super fast, and always loads.",positive
1209,LAPTOP#GENERAL,I am just amazed.,positive
1210,LAPTOP#DESIGN_FEATURES,The only bad part is the size/weight.,negative
1211,LAPTOP#GENERAL,"It's like 9 punds, but if you can look past it, it's GREAT!",positive
1212,LAPTOP#QUALITY,"If you don't like fingerprints, this might not be the laptop for you.",neutral
1213,LAPTOP#QUALITY,"It super shiny, so you can see the fingerprints easily.",neutral
1214,,It doesn't bother me though.,
1215,,It doesn't heat up like my old laptop.,
1216,LAPTOP#PRICE,All for such a great price.,positive
1217,LAPTOP#DESIGN_FEATURES,It's color is even cool.,positive
1218,GRAPHICS#QUALITY,Another Great thing is the Beast graphics.,positive
1219,GRAPHICS#QUALITY,They are so realistic I am just speechless.,positive
1220,LAPTOP#USABILITY,"I let my friend borrow it, and she knows nothing about computers, and she used it with ease.",positive
1221,LAPTOP#USABILITY,The cool thing about this is anyone can use it.,positive
1222,,"Mom, Dad, Brother, sister, You name it!",
1223,LAPTOP#GENERAL,I don't know how I could ever live without my Qousmio.,positive
1224,LAPTOP#QUALITY,"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201",negative
1225,LAPTOP#QUALITY,Ive had to call tech support many times.,negative
1226,SUPPORT#QUALITY,Each time taking about 1 day or so.,negative
1227,,I just recently had to ship my laptop back to HP for repair.,
1228,SUPPORT#QUALITY,I had to wait 3 weeks to get it back and it still is not working properly.,negative
1229,SUPPORT#QUALITY,I had to pay for the shipping!,negative
1230,COMPANY#GENERAL,I will never buy anything from HP again!,negative
1231,,One of the smartest thing I did was take my time to compare laptops before making my purchase.,
1232,LAPTOP#GENERAL,The Toshiba Satellite has been more than I expected for the price.,positive
1233,,I will stack it up against laptops that cost twice as much any day.,
1234,LAPTOP#OPERATION_PERFORMANCE,THis computer may be small but it is one heck of a power horse.,positive
1235,LAPTOP#GENERAL,You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,positive
1236,LAPTOP#DESIGN_FEATURES,for being so small it is amazing that it is as fast as it is.,neutral
1237,LAPTOP#DESIGN_FEATURES,when i first got it i thought the size of it was a joke.,neutral
1238,LAPTOP#DESIGN_FEATURES,but after i got used to it i love it.,positive
1239,LAPTOP#DESIGN_FEATURES,the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,positive
1240,LAPTOP#DESIGN_FEATURES,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",positive
1241,LAPTOP#DESIGN_FEATURES,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,neutral
1242,LAPTOP#GENERAL,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,positive
1243,,"i would never go back any more, i love this computer so much and i would recommend it to everyone.",
1244,LAPTOP#OPERATION_PERFORMANCE,"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",positive
1245,LAPTOP#QUALITY,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",positive
1246,,this computer is a little more expensive than any pc but it will last you longer and it worth every penny.,
1247,SUPPORT#QUALITY,"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",positive
1248,LAPTOP#QUALITY,"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",positive
1249,LAPTOP#GENERAL,"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",positive
1250,LAPTOP#OPERATION_PERFORMANCE,Not working = bad,negative
1251,LAPTOP#PRICE,"I spent 2200 dollars on a ""top of the line laptop"".",negative
1252,LAPTOP#OPERATION_PERFORMANCE,I got the blue screen of death the first month I got it.,negative
1253,LAPTOP#PRICE,"1) Payed $2200 for a ""premium"" laptop",negative
1254,LAPTOP#OPERATION_PERFORMANCE,2) Blue screen first month,negative
1255,SUPPORT#QUALITY,3) Horrible customer support-they lost my laptop for a month-got it back 3 months later,negative
1256,SUPPORT#QUALITY,"4) Laptop still did not work, blue screen within a week...",negative
1257,LAPTOP#GENERAL,5) Cut my losses and sold it for parts,negative
1258,,"Do yourself a favor, this is not a fake story trying to hurt alienware...",
1259,COMPANY#GENERAL,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",negative
1260,,do a quick search on the internet see if im the only one.,
1261,,I'm new - just switched from years of PC frustration.,
1262,LAPTOP#DESIGN_FEATURES,"what an elegant, wonderful machine.",positive
1263,LAPTOP#GENERAL,"I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea.",positive
1264,LAPTOP#GENERAL,I really wish I had done this years ago.,positive
1265,LAPTOP#CONNECTIVITY,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,positive
1266,,Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,
1267,LAPTOP#GENERAL,I love it - never had a computer I was so impressed with - and I've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE.,positive
1268,LAPTOP#GENERAL,"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.",negative
1269,LAPTOP#OPERATION_PERFORMANCE,The computer blinks it shuts off at will.,negative
1270,KEYBOARD#QUALITY,The letter A stopped working after the first week.,negative
1271,SUPPORT#QUALITY,when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,negative
1272,,not the day received.,
1273,SUPPORT#QUALITY,so the fact that the computer does not work on the 24 twenty fourth day is my fault.,negative
1274,SUPPORT#QUALITY,they have done absolutely nothing to fix the computer problem.,negative
1275,SUPPORT#QUALITY,they have not sent a new one nor called.,negative
1276,LAPTOP#DESIGN_FEATURES,i spent eight hundred dollars from a giant paper weight that looks good on a bus.,neutral
1277,SUPPORT#MISCELLANEOUS,then on top of it all their cusromer service center is in the middle east.,negative
1278,SUPPORT#QUALITY,So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand.,negative
1279,SUPPORT#QUALITY,"Then to make matters worst, there is noone that they can transfer you to.",negative
1280,,its sad because their commercials are great.,
1281,LAPTOP#QUALITY,I had this computer for one month and had to send it in for repair.,negative
1282,SUPPORT#QUALITY,Got the computer back a month later and it was still broken sent it out again and they repaired it.,negative
1283,SUPPORT#QUALITY,3 weeks went by and the computer keeps crashing and will not open any applications.,negative
1284,SUPPORT#QUALITY,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,negative
1285,SUPPORT#QUALITY,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,negative
1286,LAPTOP#QUALITY,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,negative
1287,LAPTOP#GENERAL,I have had this laptop for a few months now and i would say im pretty satisfied.,positive
1288,MULTIMEDIA_DEVICES#QUALITY,The only problems are the sound isnt very loud I have to wear headphones.,negative
1289,MOUSE#QUALITY,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,negative
1290,SUPPORT#PRICE,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,negative
1291,SUPPORT#QUALITY,It took a little over 2 weeks until i got it back.,negative
1292,MOUSE#QUALITY,ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke.,negative
1293,,I babyed the heck out of it and i still do.,
1294,LAPTOP#QUALITY,To be honest i think it was faulty equipment or something but idk.,negative
1295,GRAPHICS#GENERAL,The graphics are great.,positive
1296,LAPTOP#OPERATION_PERFORMANCE,The internet speed is spectacular.,positive
1297,BATTERY#OPERATION_PERFORMANCE,The battery life is probably an hour at best.,negative
1298,SOFTWARE#MISCELLANEOUS,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,negative
1299,LAPTOP#OPERATION_PERFORMANCE,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,positive
1300,MULTIMEDIA_DEVICES#QUALITY,I wish the volume could be louder and the mouse didnt break after only a month.,negative
1301,LAPTOP#GENERAL,I received this laptop as a gift and let me just tell you that its the worst.,negative
1302,MOTHERBOARD#QUALITY,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,negative
1303,LAPTOP#MISCELLANEOUS,This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,negative
1304,LAPTOP#MISCELLANEOUS,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,negative
1305,LAPTOP#GENERAL,the whole experiece is horrible so save up and buy a better laptop.,negative
1306,LAPTOP#GENERAL,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,negative
1307,LAPTOP#OPERATION_PERFORMANCE,"The computer is so slow, even after paying staples the extra money to speed it up.",negative
1308,LAPTOP#MISCELLANEOUS,They said it was a computer error on this type of computer.,negative
1309,LAPTOP#QUALITY,"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",negative
1310,LAPTOP#OPERATION_PERFORMANCE,"When the computer has been on for several minutes, it will occasionaly just go off by itself.",negative
1311,BATTERY#OPERATION_PERFORMANCE,"Also, the battery does not last very long at all.",negative
1312,LAPTOP#GENERAL,I would recommend not buying this product.,negative
1313,SUPPORT#QUALITY,I have had no luck with staples or HP to resolve this problem.,negative
1314,LAPTOP#GENERAL,I am stuck with a laptop that I cannot do very much with.,negative
1315,KEYBOARD#OPERATION_PERFORMANCE,"Also, I have had alot of trouble with the keys sticking and will not type correctly.",negative
1316,KEYBOARD#OPERATION_PERFORMANCE,"Also, I have had alot of trouble with the shift key to go to other lines.",negative
1317,KEYBOARD#OPERATION_PERFORMANCE,"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",negative
1318,DISPLAY#OPERATION_PERFORMANCE,Sometimes the screen even goes black on this computer.,negative
1319,COMPANY#GENERAL,Will probably never buy a HP again.,negative
1320,LAPTOP#QUALITY,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,negative
1321,HARD_DISC#QUALITY,After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,negative
1322,,"Before we got this laptop, had a compaq pasaro for 5 years with no problems.",
1323,,After the bad experience with this computer went back to compaq.,
1324,LAPTOP#GENERAL,I hate it.,negative
1325,LAPTOP#GENERAL,I have had the luxury (sarcasm) of owning 2 of these laptops.,negative
1326,LAPTOP#QUALITY,The first fell apart right after the 1-year-warranty.,negative
1327,LAPTOP#QUALITY,"During that time, I had to send it back 3 times.",negative
1328,LAPTOP#DESIGN_FEATURES,I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.,negative
1329,SUPPORT#QUALITY,None of the techs at HP knew what they were doing.,negative
1330,SUPPORT#QUALITY,"They would repair one thing, send it back and it would still have the same problem.",negative
1331,CPU#QUALITY,"The processor went on me, the fan went and the motherboard went.",negative
1332,SUPPORT#QUALITY,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",negative
1333,SUPPORT#QUALITY,I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,negative
1334,WARRANTY#PRICE,I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,neutral
1335,SUPPORT#QUALITY,I sent it back AND THEY LOST IT.,negative
1336,SUPPORT#QUALITY,I waited and waited and no laptop.,negative
1337,SUPPORT#QUALITY,Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.,negative
1338,SUPPORT#QUALITY,"I waited another month for approval and for them to ""BUILD"" me a new laptop.",negative
1339,,I was psyched.,
1340,,I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.,
1341,SUPPORT#QUALITY,Here we are another year later and the computer is doing the same thing.,negative
1342,SUPPORT#QUALITY,HP didn't fix it.,negative
1343,LAPTOP#QUALITY,I swear they design these things to go to crap after a year so you are stuck and have to buy a new one.,negative
1344,,"I use my friends and family's $2000 laptops and they are fast and reliable and HP, well, I'll never buy or recommend an HP to anyone!",
1345,,bought notebook 07/2009.,
1346,LAPTOP#CONNECTIVITY,in 5 months the connect quality got worse and worse.,negative
1347,SUPPORT#QUALITY,1st time they got it working the next 5 month they had me send it in.,negative
1348,LAPTOP#GENERAL,returned it.,negative
1349,LAPTOP#QUALITY,5 months dead again.,negative
1350,SUPPORT#QUALITY,They say sorry out of warranty.,negative
1351,SUPPORT#QUALITY,Summary: They played games with me for the warranty period.,negative
1352,SUPPORT#PRICE,Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.,negative
1353,SUPPORT#QUALITY,They had me send in the machine last April returned it to me in May with no documentation on what was done it anything.,negative
1354,LAPTOP#CONNECTIVITY,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,negative
1355,COMPANY#GENERAL,So buyer beware when buying Toshiba,negative
1356,,I bought this laptop the moment unibody product came to the market.,
1357,,"I also bought one for my wife, and 3 for my office.",
1358,LAPTOP#GENERAL,"They are wonderful, but very dangerous when it comes to emitting heat.",positive
1359,LAPTOP#QUALITY,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.",negative
1360,SUPPORT#QUALITY,"I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.",negative
1361,,"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",
1362,,"You might think, I am new in this game, but I am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.",
1363,,I also experience the same with my MacBook Air.,
1364,,"So you might ask, what did Apple do for me?",
1365,COMPANY#GENERAL,"For my burn thigh which has put a permanent mark on my skin (it happened 7 months ago) they offered me an ITouch 8Gig (you know it is a bit insulating when a company this rich, offer a loyal customer like me, a bottom of their product line as a gift for events like this).",negative
1366,COMPANY#GENERAL,"Steve Jobs, probably needs help and donations, and cannot afford a reasonable offers for people that truly are trying to support his baby.",negative
1367,COMPANY#GENERAL,"The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply  to make as much money as possible, as fast as they can, and in this day and age, the customer no longer is right all the times.",negative
1368,,Sad very SAD.,
1369,,I had meant to purchase the NB205 and bought this one by accident (long story).,
1370,LAPTOP#DESIGN_FEATURES,"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",neutral
1371,HARD_DISC#QUALITY,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,negative
1372,SUPPORT#QUALITY,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",positive
1373,,"I have had the netbook for 2 months and I love it, I read some reviews that say netbooks are slow but it does not seem any slower than the other computers I use.",
1374,MULTIMEDIA_DEVICES#QUALITY,"Also the speakers are not very loud, But it is a netbook.",neutral
1375,LAPTOP#GENERAL,Would HIGHLY recommend this netbook though.,positive
1376,,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",
1377,SUPPORT#QUALITY,I custom ordered the machine from HP and could NOT understand the techie due to his accent.,negative
1378,,Finally was able to reach a young lady in California and ordered the machine and was subsequently given a delivery date.,
1379,,"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",
1380,SHIPPING#QUALITY,The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.,negative
1381,LAPTOP#QUALITY,"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.",negative
1382,SUPPORT#QUALITY,"Although my model was listed as recalled, HP denied my claim.",negative
1383,,"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.",
1384,,I visited the Apple Store and was impressed with the 17-inch MacBook Pro.,
1385,,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",
1386,,"If the number of patrons in the Apple store are any indication, HP and other PC manufacturers need to take note.",
1387,LAPTOP#GENERAL,"This laptop leaves alot to be desired, I have had it only 5 months and have had to send it away to be repaired twice...",negative
1388,SOFTWARE#GENERAL,"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",negative
1389,LAPTOP#GENERAL,If you shop around in the current market you can find a much better deal.,negative
1390,SUPPORT#QUALITY,"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",positive
1391,LAPTOP#QUALITY,Unable to boot up this brand new laptop.,negative
1392,SUPPORT#QUALITY,Spent 2 hours on phone with HP Technical Support.,negative
1393,SUPPORT#QUALITY,"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",negative
1394,SUPPORT#QUALITY,They are asking me to ship the unit back to fix it at their site.,neutral
1395,LAPTOP#GENERAL,I am going to go back and return at Store I bought from!,negative
1396,LAPTOP#DESIGN_FEATURES,This computer had exactly the specifications I needed.,positive
1397,LAPTOP#DESIGN_FEATURES,"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",positive
1398,LAPTOP#GENERAL,The perfect notebook...,positive
1399,LAPTOP#OPERATION_PERFORMANCE,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,negative
1400,LAPTOP#CONNECTIVITY,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,negative
1401,SUPPORT#QUALITY,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",negative
1402,SUPPORT#QUALITY,"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",negative
1403,LAPTOP#CONNECTIVITY,Needless to say a PC that can't support a cell phone is less than useless!,negative
1404,SUPPORT#QUALITY,"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",negative
1405,SUPPORT#QUALITY,I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.,negative
1406,POWER_SUPPLY#QUALITY,"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.",negative
1407,,"Call tech support, standard email the form and fax it back in to us.",
1408,,"I called back to ensure that received it, they had.",
1409,SUPPORT#QUALITY,But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!,negative
1410,SUPPORT#QUALITY,Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,negative
1411,SUPPORT#QUALITY,This was the 3rd day and part still had not been shipped.,negative
1412,,Asked the customer service rep.,
1413,,"If it's not shipped on the next business day, called on a Friday they are closed on weekends, what was the next step.",
1414,SUPPORT#QUALITY,"The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.",negative
1415,,Was searching online for a power supply when I found this site.,
1416,SUPPORT#QUALITY,I'm tired of the inept service.,negative
1417,COMPANY#GENERAL,If you are looking for a netbook pc DO NOT BUY FROM ASUS!!!,negative
1418,POWER_SUPPLY#OPERATION_PERFORMANCE,Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,negative
1419,LAPTOP#GENERAL,I'M REALLY FRUSTRATED BY THIS EXPERIENCE.,negative
1420,POWER_SUPPLY#OPERATION_PERFORMANCE,HOW DOES THE POWER SUPPLY NOT WORK!!!,negative
1421,,"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",
1422,LAPTOP#MISCELLANEOUS,Our Apple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook and has become such an integral part of completing our daily needs and social networking.,positive
1423,LAPTOP#GENERAL,"I do everything on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.",positive
1424,LAPTOP#OPERATION_PERFORMANCE,"It pretty much does everything we could ever need, and looks great to boot.",positive
1425,LAPTOP#DESIGN_FEATURES,"Apple is always great about the aesthetics of things, they always come up with good looking products.",positive
1426,SOFTWARE#USABILITY,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,positive
1427,LAPTOP#GENERAL,"So, if you're thinking of a laptop, I would heartily recommend theApple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook for all your needs!",positive
1428,LAPTOP#GENERAL,"It's great and we will always stick with Apple computers, we have been so happy with them.",positive
1429,,"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",
1430,LAPTOP#QUALITY,"The 13"" MacBook Pro is portable, durable, and very capable.",positive
1431,BATTERY#OPERATION_PERFORMANCE,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",positive
1432,LAPTOP#OPERATION_PERFORMANCE,"It's also very energy efficient, running on a quarter of the power it takes to run a 60 Watt lightbulb.",positive
1433,GRAPHICS#GENERAL,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",positive
1434,,It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,
1435,OS#USABILITY,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",positive
1436,,"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",
1437,MOUSE#DESIGN_FEATURES,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",positive
1438,LAPTOP#MISCELLANEOUS,"Still, this laptop is perfect for all day use at school and work.",positive
1439,LAPTOP#QUALITY,They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).,positive
1440,,Me and my boyfriend bought the Gateway NV78 in nov of 09.,
1441,,Bought with a credit card.,
1442,LAPTOP#GENERAL,Probbly the worst decision we ever made!,negative
1443,KEYBOARD#QUALITY,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,negative
1444,,the place we bought it from said that after they send it out to gateway 4 times they would give us a new one.,
1445,,the last time we took it to get fixed the guy said that most likely it is a reppative problem and will keep happeneing so hopefully we can get a new one very soon!,
1446,LAPTOP#GENERAL,pretty much everything else about the computer is good it just stops working out of no were.,positive
1447,LAPTOP#DESIGN_FEATURES,i love the size of the computer since i play games on it.,positive
