,aspect,document,sentiment
1043,,A beautifully designed dreamy Egyptian restaurant that gets sceney at night.,
1044,,Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.,
1045,,"Oh, and there's hookah.",
1046,,Best restaurant in Brooklyn,
1047,,The best!,
1048,,"Great food, amazing service, this place is a class act.",
1049,,The veal was incredible last night.,
1050,,"Fresh, mind blowing flavors.",
1051,,This place is a must visit!,
1052,,Got a date? Go here!,
1053,,Every time I have a special occasion with my boyfriend I have a hard time going anywhere else.,
1054,,It is so romantic.,
1055,,"Its dark, and cozy.. there is always jazz music playing when we go.",
1056,,Most of the booths allow you to sit next to eachother without looking like 'that' couple.,
1057,,The food is all shared so we get to order together and eat together.,
1058,,I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).,
1059,,Once you try it for a special occasion beware.. you can't stop!,
1060,,"You'll be ther for every anniversary, birthday, valentines day...",
1061,,For a Fabulous Wedding!,
1062,,My daughter's wedding reception at Water's Edge received the highest compliments from our guests.,
1063,,Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,
1064,,Service was wonderful;,
1065,,everyone was cheerfully cooperative and helpful.,
1066,,"Paul, the maitre d', was totally professional and always on top of things.",
1067,,Thank you everyone at Water's Edge.,
1068,,"Ruth, mother of the Bride",
1069,,Good Experience,
1070,,"During our trip to NYC, we made reservations to dine in the pool room of the Four Seasons for their pre-theater menu (offering a modified menu for $65 pp).",
1071,,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,
1072,,"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.",
1073,,"However, our main course was wonderful.",
1074,,I had fish and my husband had the filet - both of which exceeded our expectations.,
1075,,"The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.",
1076,,When we inquired about ports - the waitress listed off several but did not know taste variations or cost.,
1077,,Not what I would expect for the price and prestige of this location.,
1078,,"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.",
1079,,"short and sweet – seating is great:it's romantic,cozy and private.",
1080,,The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,
1081,,The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.,
1082,,The food was ok and fair nothing to go crazy.,
1083,,over.,
1084,,Over all the looks of the place exceeds the actual meals.,
1085,,So what you really end up paying for is the restaurant not the food.,
1086,,Will prob. not return but it is a great dinning experience to try atleast once.,
1087,,amazing fresh dogs but best of all endless toppings!!!,
1088,,this place had ALL the trimmings and i mean all.,
1089,,"peppers, onions, relish, chilli, cheeses, you NAME it.",
1090,,amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!,
1091,,BEST DINING EXPERIENCE IN THE WEST VILLAGE!,
1092,,Stepping into Casa La Femme last night was a true experience unlike any other in New York!,
1093,,Highly impressed from the decor to the food to the hospitality to the great night I had!,
1094,,The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!,
1095,,"Food took some time to prepare, all worth waiting for.",
1096,,We were drawn into the belly dancing show that captivated the crowd.,
1097,,I never write on these sites but this restaurant is def worth commending!,
1098,,Great find in the West Village!,
1099,,Maggot in the food!,
1100,,I've been wanting to go to this place forever and finally got a table.,
1101,,"The menu looked great, and the waiter was very nice, but when the food came, it was average.",
1102,,"Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.",
1103,,"I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",
1104,,"When the bill came, nothing was comped, so I told the manager very politely that we were willing to pay for the wine, but I didn't think I should have to pay for food with a maggot in it.",
1105,,"Yes, I ate the food, but I certainly would not have if I had seen the maggot before eating, and I was at this point fairly sick to my stomach.",
1106,,"The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.",
1107,,We paid and left because we didn't feel like arguing any more.,
1108,,"I have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.",
1109,,"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",
1110,,Unhygienic,
1111,,I do not recommend.,
1112,,I went there 2times .,
1113,,I got hair in my food 2 times of then !,
1114,,"Great place, great value.",
1115,,"The food is flavorful, plentiful and reasonably priced.",
1116,,The atmosphere is relaxed and casual.,
1117,,It's a great place to order from or sit-in.,
1118,,Sushi experience was unbelievable with my fiance.,
1119,,Try it!,
1120,,Very pleased,
1121,,Good creative rolls!,
1122,,"Yamato is an excellent place to go if youre not into sashimi, or if you have friends who doesnt like sushi much.",
1123,,"They have great rolls, the triple color and norwegetan rolls, are awesome and filling.",
1124,,"One special roll and one regular roll is enough to fill you up, but save room for dessert!",
1125,,"They have a delicious banana chocolate dessert, as well as a great green tea tempura.",
1126,,The appetizers are also delicious!,
1127,,"Indo Chinese food, pretty good...",
1128,,Not a very fancy place but very good Chinese style Indian food.,
1129,,"The chicken lollipop is my favorite, most of the dishes (I have to agree with a previous reviewer) are quite oily and very spicy, espeically the Chilli Chicken.",
1130,,"My mom originally introduced me to this place, but even she (being Indian) feels the food can be somewhat over the top spicy and far too oily.",
1131,,Still we keep going back :),
1132,,Best In ALL of NYC,
1133,,"This is the MOST wonderful restaurant in all of New York City, not just Brooklyn...",
1134,,"for 7 years they have put out the most tasty, most delicious food and kept it that way...",
1135,,"never swaying, never a bad meal, never bad service...",
1136,,I'm telling you...,
1137,,you should travel from the Bronx to try it...,
1138,,"great food, great wine list, great service in a great neighborhood...",
1139,,so delicious!!!!!!,
1140,,Patsy's Pizza = true love,
1141,,Hands down the best pizza on the planet.,
1142,,My bf and I go to the walk-up counter and order a pie.,
1143,,"In about 12 minutes, the thing is gone.",
1144,,Need I say more?,
1145,,great hot dogs..,
1146,,the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside.,
1147,,great toppings definitely a place you need to check out for late night munchies or a mid day boost!,
1148,,great taste,
1149,,"Great, original taste.",
1150,,"For me dishes a little oily, but overall dining experience good.",
1151,,Helpful service and average price per dish $10.,
1152,,The only thing that strikes you is the decor?(not very pleasant).,
1153,,great food,
1154,,This place has great indian chinese food.,
1155,,The flavors are amazing and the value is phenomenal.,
1156,,"Be prepared to wait, because the place is pretty tiny.",
1157,,"Also, they do not take credit card so come with cash!",
1158,,"Even though the place is not beautiful, the food speaks for itself.",
1159,,"Best Indian Chinese in the city, by far!",
1160,,AMAZING MY FAVORITE!!!,
1161,,I have been living in NYC for bit now and I have to say I love to go out and explore the scene.,
1162,,"I came across Village Underground by accident, now I go there all the time.",
1163,,The martinis are amazing and very fairly priced.,
1164,,"THE SERVICE IS AMAZING, i've had different waiters and they were all nice, which is a rare thing in NYC.",
1165,,"The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.",
1166,,You can get a table without a reservation if you get there early I they don't make you by bottles.,
1167,,Which lets face it....at times it's a good thing.,
1168,,In the end you end up with a fair tab and NOTHING BUT A GREAT TIME!!!,
1169,,Highly recommended!,
1170,,"One of the best, if not THE best, restaurants in Park Slope (and NY in general)",
1171,,Everything on the menu is great.,
1172,,This establishment is the real deal.,
1173,,"Wish NY had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.",
1174,,Terrible Waste of money.. scammers,
1175,,I agree that dining at Casa La Femme is like no other dining experience!,
1176,,BUT not in a good way.,
1177,,I am actually offended to have spent so much money on such a bad experience.,
1178,,I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,
1179,,We went to celebrate two birthdays and wanted to do something special and different.,
1180,,"Our visit their to say the least, was an unpleasant and costly experience!",
1181,,And even more so unpleasant because it was so costly for such an unpleasant experience.,
1182,,We did arrive late for our reservation so I can not complain too much about the wait for a table.,
1183,,Although we were told 10-15 minutes and it was more like 45 minutes.,
1184,,We were ushered to the bar to wait momentarily and upon arrival were so excited.,
1185,,The place is beautiful!,
1186,,The hostess was very pleasant.,
1187,,"However, our $14 drinks were were horrible!",
1188,,"Once we finally got a table, despite indicating we wanted an alla carte menu we were pushed into a table that was only price fixed!",
1189,,"Since we were already waiting so long, we felt we had no other choice but to accept it.",
1190,,Our experience did not ever get any better.,
1191,,For each course we waited over 1/2 hour to 45 minutes and were never offered a drink.,
1192,,We also asked for Hooka six times and the waiter kept telling us one minute and never returning with the Hooka.,
1193,,After the 4th time i asked again and the waiter than said after our dinner.,
1194,,We asked for beverages and never received them.,
1195,,We asked for sides which the waiter than admitted that he forgot to put in that part of our order.,
1196,,My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.,
1197,,I would not expect this for a $55 dinner.,
1198,,By the time we finished our dinner we still had not received one beverage NOR hooka!,
1199,,What we did do was waste 3 hours being trapped in a table waiting and waiting for food and drinks and hooka.. some of which we never received!,
1200,,The only beverage we did receive was water in dirty glasses!,
1201,,To top it all off.. the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant.,
1202,,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",
1203,,If it seemed possible to do so while there I would have fought my bill since my dinner portion of my meal was inedible!,
1204,,"I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.",
1205,,MY husbands birthday and my sons was not as it was intended... and we drove two hours to spend too much money to be treated terribly!,
1206,,I wish I COULD be refunded!,
1207,,One of the BEST,
1208,,"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE""",
1209,,My GF and I dine at Bukhara often as she lives near it.,
1210,,The lunch buffet is expensive but is deff worth it.,
1211,,We go often for lunch and the place is packed.,
1212,,We have gone for dinner only a few times but the same great quality and service is given.,
1213,,Bukhara is on my top 5 Indian places in NYC,
1214,,Wretched and retching,
1215,,This will be only the third online review I have ever made about a restaurant in my life.,
1216,,They have all been tonight and they have all been about the same restaurant.,
1217,,I have never been so disgusted by both food an service.,
1218,,For starters they delivered us someone else's order.,
1219,,"Fine, I wont hang you for that.",
1220,,"However, once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair, (sometimes you have to settle when it's your only option), I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting, slimy, clearly bad piece of fish skin.",
1221,,"Not one to jump to complaints (hence my lack of previous online reviewing), I called the restaurant to give them a heads up that their kitchen might want to check the cleanliness of their prep stations.",
1222,,"My main concern was the sanity of the food that was being sent out to myself and others, but I would be lying is I said that as someone who has worked in restaurants since the age of fifteen I was expecting at least a minimal effort on the part of the restaurant to amend the situation.",
1223,,None was made so i hung up.,
1224,,Less than three minutes passed before I found myself doubled over the toilet.,
1225,,"My girlfriend, being slightly more aggressive, and having been equally disgusted causing her to throw out the remainder of her barely eaten meal, called back only to be informed that I was probably wrong and that it was most likely an oyster, and that we were also blacklisted from their restaurant.",
1226,,"Not only have I worked in restaurants for many years, I am now in culinary school, I am a huge lover of oysters and fish, and my girlfriend is half Korean!",
1227,,We know the difference between and oyster and bad fish.,
1228,,"It wasn't as if this restaurant had any major bragging points before hand, but now it's simply repulsive.",
1229,,Eat at your own risk.,
1230,,Gorgeous place ideal for a romantic dinner,
1231,,I took my boyfriend for a dinner on saturday night.,
1232,,I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot.,
1233,,The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing!,
1234,,I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.,
1235,,Lives up to the hype,
1236,,We've lived around the corner from this place for over a year and finally had dinner there.,
1237,,We've tried before but it always packed and doesn't take reservations.,
1238,,It was well worth the wait.,
1239,,The wife had the risotto which was amazing.,
1240,,"It doesn't look appetizing as it's covered in squid ink and it turns your lips and teeth black, but the taste was phenomenal.",
1241,,The farro salad and the mashed yukon potatoes were also extremely tasty.,
1242,,i love margherita pizza – i looove east village pizza,
1243,,"Love this place, every time we are in the city this is one of the places we always go.",
1244,,A quintessential slice of NYC pizza.,
1245,,"The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",
1246,,"Personally I like the margherita pizza better, but they are all good.",
1247,,Possibly the Most Romantic Restaurant in the City,
1248,,"This is undoubtedly my favorite modern Japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!",
1249,,"Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.",
1250,,"If you’re planning to come here, make sure that your date is someone whom you really like since you’ll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!).",
1251,,It’s just you and your date and an occasional cute ‘excuse me’ before the waiter opens the little curtain to your booth!,
1252,,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",
1253,,I never used to be a fan of sakes but am lately experimenting with it a lot more and am acquiring a better taste of it.,
1254,,We started off with a delightful sashimi amuse bouche.,
1255,,Our first course was Tuna Sashimi with Green Yuzu Sauce.,
1256,,"I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better.",
1257,,The entrees were served with miso soup and rice.,
1258,,The sake’s complimented the courses very well and is successfully easing me into the sake world.,
1259,,"For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.",
1260,,"Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.",
1261,,"I don’t usually visit the same establishment more than once, what more twice, but I’ll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.",
1262,,Terrible would be a compliment!,
1263,,"The service leaves much to be desired, from feeling like you are rushed the place your order, to being ignored the rest of the night.",
1264,,"We were 10 people celebrtating a birthday, we sat in the tent.",
1265,,We paid a fixed pricce but got nothing!!,
1266,,We never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating.,
1267,,"They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!",
1268,,Stay away,
1269,,Restaurant with a view,
1270,,Celebrated my fathers birthday here.,
1271,,The food tasted very good.,
1272,,The family seafood entree was very good.,
1273,,The main entree was also very good.,
1274,,We order a bit of everything on the menu.,
1275,,"Price is high but the food is good, so I would come back again.",
1276,,Good Food,
1277,,I went here with my boyfriend for our anniversary.,
1278,,"The food was great and tasty, but the sitting space was too small, I don't like being cramp in a corner.",
1279,,Over all it was a very nice romantic place .,
1280,,I would recommend to ask for a bigger sitting area when you make a reservation (if possible),
1281,,Loved it,
1282,,A coworker and I tried Pacifico after work a few Fridays and loved it.,
1283,,The atmosphere was great.,
1284,,"The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.",
1285,,"Our waitress wasn't mean, but not especially warm or attentive either.",
1286,,"I must say I am surprised by the bad reviews of the restaurant earlier in the year, though.",
1287,,Maybe it has improved since then?,
1288,,"Regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.",
1289,,Dumbfoundingly Poor,
1290,,"This was, from start to finish, a mind-bogglingly uncomfortable experience.",
1291,,Lexicographers take note: a new and fascinating definition of rudeness is alive and flourishing right here in Brooklyn.,
1292,,The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention.,
1293,,Polite acknowledgement is out;,
1294,,supercilious scorn is in.,
1295,,"And how many times can you pick up the same perfectly aligned set of napkins, inspect them vapidly and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent?",
1296,,"A different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).",
1297,,"Overall the food quality was pretty good, though I hear the salmon is much better when it hasn't sat cooling in front of the guest.",
1298,,"The place has a nice fit-out, some attractive furnishings and, from what I could tell, a reasonable wine list (I was given the food menu when I asked for the carte des vins)",
1299,,"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",
1300,,"On that scale, it's a world-beater.",
1301,,cirspy crust margherita pizza,
1302,,we have been there 3 times since last week we alked it by chance first day the manager offerd us the margherita pizza adn we said yes.,
1303,,it was really good pizza.,
1304,,the crust was imazingly cooked well and pizza was fully loaded:):):),
1305,,you know what i mean all the positives things happening there made mw write this review.,
1306,,Great Hot Dogs!,
1307,,I've made the trip out here a few times with a friend who lives nearby (I live on UWS).,
1308,,"Though it's been crowded most times I've gone here, Bark always delivers on their food.",
1309,,"The hot dogs are top notch, and they're Slamwich is amazing!",
1310,,"Going to Bark is always worth the train ride, and will make your tongue and belly very happy!",
1311,,Only complaint is the pricing--I believe it would be more reasonable to pay a dollar less on each item listed on the menu.,
1312,,"But nonetheless--great spot, great food.",
1313,,Best meal in a long time!,
1314,,Mussles and calamari were superb Saturday evening.,
1315,,I had the Lamb special which was perfect.,
1316,,"My father had the flank steak which was very good, and my mother had the swordfish.",
1317,,The Four Seasons restaurant is a great experience.,
1318,,The food is great and the environment is even better.,
1319,,Everyone must come here at least once.,
1320,,Highly recommend it!,
1321,,Taking Hot Dogs to the next level,
1322,,"At first glance this place seems a bit pricey for a hot dog joint, but at Bark you don't just get your average hot dog.",
1323,,Here the hot dog is elevated to the level of a real entree with numerous variations available.,
1324,,Poor service and management,
1325,,Don’t go to this place!,
1326,,Had an awful experience at Casa la Femme on a Saturday dinner.,
1327,,Appetizers took nearly an hour.,
1328,,When the main course finally arrived (another 45mins) half of our order was missing.,
1329,,Never got an explanation as to what was going on.,
1330,,The manager was rude and handled the situation extremely poorly.,
1331,,"When we threatened to leave, we were offered a meager discount even though half the order was missing.",
1332,,"On the way out, we heard of other guests complaining about similar issues.",
1333,,Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients.,
1334,,So rude!!!,
1335,,I went with JWILS.,
1336,,Her review is above.,
1337,,I was one of the people that went for this horrible experience.,
1338,,My friend is 100% right in the experience we had.,
1339,,The hostess was rude and I got a distinct feeling that they did not want to serve us.,
1340,,The only thing that my friend left out is that when we sat down at the bar the bartender disappeared.,
1341,,I asked for a menu and the same waitress looked at my like I was insane.,
1342,,"I was shocked that my friends wanted to stay after the waitress said, ""can I help you"" and ""how many are in your party.""",
1343,,What?,
1344,,The three of us standing in front of her should have been an indication of how many of us there were.,
1345,,We didn't look like the other patrons in there so unfortunately I think that may have been part of the problem.,
1346,,Shame on this place for the horrible rude staff and non-existent customer service.,
1347,,bad staff,
1348,,I generally like this place.,
1349,,The food is good.,
1350,,The design of the space is good.,
1351,,But the service is HORRID!,
1352,,"I was there for brunch recently, and we were tag teamed by a waitress and a waiter.",
1353,,The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.,
1354,,"I can't believe that it was, but please put the bag down before delivering food!",
1355,,"The waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).",
1356,,"I couldn't ignore the fact that she reach over the plate of one of my friends, who was in mid bite, to clear the table.",
1357,,"She then put the check down without asking if we were done, and came to check on the bill every two minutes, even though we were one of three occupied tables.",
1358,,"I wish I could like this place more, and I wish someone would retrain the staff.",
1359,,LLOOVVE THIS PLACE.,
1360,,Food is excellent.,
1361,,Fish is so very fresh.,
1362,,Waitstaff are very friendly.,
1363,,Love YUKA.,
1364,,"Obviously the Chinese translation of this place does not mean Big Wong, it actually means Great Prosperity.",
1365,,The food here does a great service to the name (Cantonese that is...).,
1366,,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,
1367,,This dish is my favorite and I always get it when I go there and never get tired of it.,
1368,,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",
1369,,Simply some good tasting Chinese food at incredible prices...,
1370,,Service is not what you are coming here for...,
1371,,Just make sure my ice water is kept full and my tea kettle filled with piping hot tea and that's all the service I need...,
1372,,Big Wong is a great place to eat and fill your stomach.,
1373,,"i've been to sapphire twice and both times the food was fine, if not good.",
1374,,"stick with the chicken, beef, and lamb dishes.",
1375,,i don't usually order wine with indian so i can't comment on their wine list or their wines.,
1376,,instead ordered an ice cold beer which to me works with indian.,
1377,,"service is friendly, and never had a problem walking in and getting a table.",
1378,,i would recommend reservations on weekends though.,
1379,,skip dessert.,
1380,,Great Atmosphere,
1381,,Went to this place this place on a real cold night and needed a quick meal.,
1382,,"I highly recommend the fish tacos, everything else was ok.",
1383,,"Cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.",
1384,,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",
1385,,This place is the most Japanese it can ever get.,
1386,,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",
1387,,This place is worth an one-hour drive.,
1388,,"I am so coming back here again, as much as I can.",
1389,,We had a great time at the Jekyll and hyde Pub last night.,
1390,,We were walking around the village and went into this place just for some drinks.,
1391,,After really enjoying ourselves at the bar we sat down at a table and had dinner.,
1392,,The server was really cool and served us our food and drinks with a smile.,
1393,,The place's decor and hidden bathrooms made for a good laugh.,
1394,,I highly recommend visiting this restaurant and having dinner and drinks!,
1395,,Big Wong gets big Ups for a fine establishment.,
1396,,"They have it all -- great price, food, and service.",
1397,,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,
1398,,The food is prepared quickly and efficiently.,
1399,,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",
1400,,The takeout is great too since they give high quality tupperware as well.,
1401,,This place is always very crowded and popular.,
1402,,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",
1403,,The menu is very limited - i think we counted 4 or 5 entrees.,
1404,,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",
1405,,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",
1406,,Problem is nothing at Prune is particularly memorable.,
1407,,No plans to return anytime soon.,
1408,,I thought this place was totally overrated.,
1409,,Everything we had was good or ok....but definitely nothing great.,
1410,,"The ambience was nice, but service wasn't so great.",
1411,,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.",
1412,,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",
1413,,The owner and staff are all Japanese as well and that adds to the entire ambiance.,
1414,,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",
1415,,I must give it Yon out of Yon stars!,
1416,,Taxan delicious!,
1417,,Arigato Gozimas Yuka!,
1418,,I love Indian food and consider myself to be quite an expert on it.,
1419,,Chennai Garden is my favorite Indian restaurant in the city.,
1420,,They have authentic Indian at amazin prices.,
1421,,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,
1422,,The seats are uncomfortable if you are sitting against the wall on wooden benches.,
1423,,It's a rather cramped and busy restaurant and it closes early.,
1424,,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",
1425,,I ordered the smoked salmon and roe appetizer and it was off flavor.,
1426,,"The entree was bland and small, dessert was not inspired.",
1427,,I expected quite a bit more from such an expensive menu.,
1428,,"Maitre-D-""Eat and get out""",
1429,,My family ate here last weekend.,
1430,,"The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.",
1431,,"While finishing our meals which included a high-end bottle of wine, our son's fiance joined us for a glass of wine and dessert.",
1432,,"This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.",
1433,,"His response was smug, arrogant, and condescending, totally consistent with his deportment on display all evening.",
1434,,"A word to the wise: you can't dine here and disturb the maitre-D's sense of "" table turnover"", as whacked as it is, or else.",
1435,,"If you go here, do it on his off-night.",
1436,,Fabulous food - if the front of house staff don't put you off –,
1437,,We live nearby BFC.,
1438,,"It's a little out of our price range for dining there except on special occasions, but we've eaten there 6 times in the last 2 years.",
1439,,"Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return.",
1440,,"As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!",
1441,,The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink.,
1442,,"I was almost amused by the fact that she was turning away customers at 9pm on a Friday night because she ""had a BBQ to go to"" that night - WTF??",
1443,,I'd be horrified if my staff were turning away customers so early and so rudely!,
1444,,"There's another girl who I can't describe, she is about 5'6"" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about.",
1445,,"I'm a friendly person, so I wouldn't mind had she not been so nasty and gotten so personal.",
1446,,"Again, I'd be super upset if that were my employee.",
1447,,"Considering you will spend at least $60 a head, I expect better service.",
1448,,"So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first...",
1449,,"Average to good Thai food, but terrible delivery.",
1450,,I've waited over one hour for food.,
1451,,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,
1452,,A Thai restaurant out of rice during dinner?,
1453,,"The food arrived 20 minutes after I called, cold and soggy.",
1454,,I got an excellent piece of cheesecake and we had several other nice pastries.,
1455,,"I would recommend Roxy's for that, but not for their food.",
1456,,My son and his girlfriend both wanted cheeseburgers and they were huge!,
1457,,"But, they were too big for the bun.",
1458,,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",
1459,,Also they were $15 each!,
1460,,I had a huge pastrami sandwich on a roll.,
1461,,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,
1462,,We had the lobster sandwich and it was FANTASTIC.,
1463,,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",
1464,,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,
1465,,I recommend getting a reservation even though we saw people seated without one.,
1466,,We waited at the bar and had martinis that were just right.,
1467,,We will be back.,
1468,,I've been here twice now.,
1469,,"The first time the sushi was outstanding, the second time it was a little bland.",
1470,,I'm sure I'll return for a final judgement tho.,
1471,,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",
1472,,"Good spreads, great beverage selections and bagels really tasty.",
1473,,THE BIG COMPLAINT: NO TOASTING AVAILABLE.,
1474,,I complete the total bagel experience by having it lightly toasted.,
1475,,Murray won't do it.,
1476,,Won't or Can't is not in the service directory.,
1477,,But who says Murray's is anything about service.,
1478,,"So close, but not good enough.",
1479,,"This is some really good, inexpensive sushi.",
1480,,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",
1481,,The spicy Tuna roll is huge and probably the best that I've had at this price range.,
1482,,The Yellowtail was particularly good as well.,
1483,,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",
1484,,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",
1485,,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,
1486,,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",
1487,,People dress in suits or evening gowns as well as shirts jeans.,
1488,,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,
1489,,"Recommendations, of course, are required!",
1490,,Please be aware that it's CASH or AMEX only!,
1491,,"I had my eyes on this place, promising myself I will one day 'give it a try.'",
1492,,And I hate to say this but I doubt I'll ever go back.,
1493,,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",
1494,,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,
1495,,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,
