,aspect,document,sentiment
1274,,Dealing with the support drone on the other end of the chat was sheer torture.,
1275,,English must have been his third or fourth language.,
1276,,"His language was so bad I swore I was taking the turing test, and it was failing.",
1277,,after trying to get some help he disconnected on me.,
1278,,After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,
1279,,"After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt.",
1280,,After that the said it was under warranty.,
1281,,Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.,
1282,,"After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.",
1283,,I managed to comply with these too and now have to wait and see if they can find another way to screw me.,
1284,,They really do have the worlds very worst repair service.,
1285,,I love my macbook pro!,
1286,,I have been a mac user since the mid 90s.,
1287,,I grew up in a design family so it only made sense.,
1288,,My laptop is almost 2yrs old and I have never had any problems with it.,
1289,,If you are a PC user looking to convert I would HIGHLY recommend it!,
1290,,It may take a little getting used to but you don't have to worry about viruses or other headaches.,
1291,,Not to mention the fact that your mac comes fully loaded with all necessary basic programs.,
1292,,I am ADDICTED to photo booth!,
1293,,It is SO much fun to play with.,
1294,,I work with kids and they love making short videos on there.,
1295,,"I am able to organize my pics, music and files easily.",
1296,,If you have any creativity in you do yourself a favor and get a mac!,
1297,,I just bought this laptop yesterday.,
1298,,This is how I feel about the laptop so far:,
1299,,1.Great display.,
1300,,Love the color accuracy.,
1301,,2.Very decent speakers.,
1302,,3.Fairly fast.,
1303,,4.Loud fan when watching 4K video off YouTube.,
1304,,Sounds like a washer.,
1305,,Machine gets fairly hot near the bottom of the screen.,
1306,,5.Best to use the power supply for 4K video viewing.,
1307,,Battery power laptop had difficulties computing.,
1308,,6.Still feels too heavy to me.,
1309,,Could lose another pound or two.,
1310,,7.Expensive.,
1311,,Paid close to $2800 out the door.,
1312,,There are too many things to test.,
1313,,Will update my review when I have time.,
1314,,"The PC is works well with a good battery and a power cable, and has a web cam.",
1315,,"However, it does not have a DVD drive, neither does it afford one the opportunity to connect an external DVD drive as the manufacturer did not make any point ofconnection of an external drive.",
1316,,I like the design rather sleek and light.,
1317,,"I will give advise any prospective buyers this is not great laptop, Its good for web browsing and word processing",
1318,,The product is average and works well.,
1319,,Works at a decent speed.,
1320,,The mouse pad however is very loud which is why i gave it four stars.,
1321,,"The Dell is quick enough, sturdy, not good with finger prints.",
1322,,It does what it advertises.,
1323,,"Price is great, wish it didn't have Windows 8, but that is an opinion.",
1324,,"I would recommend it, for anybody needing a reliable simple laptop.",
1325,,This computer had exactly the specifications I needed.,
1326,,"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",
1327,,The perfect notebook...,
1328,,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,
1329,,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,
1330,,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",
1331,,"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",
1332,,Needless to say a PC that can't support a cell phone is less than useless!,
1333,,Its a good laptop for its value.,
1334,,Registration/1st use is easy.,
1335,,Features like the font are very block-like and old school.,
1336,,"Would like more trendy, high tech features.",
1337,,The start menu is not the easiest thing to navigate due to the stacking.,
1338,,Keys stick periodically and I havent had the laptop for 45 days yet.,
1339,,Came fully loaded - good.,
1340,,"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",
1341,,The acer one compuer is a great computer.,
1342,,I didn't want to buy a generic brand computer but it is really nice.,
1343,,"Its fast, has High definition quality in the videos.",
1344,,The pictures are clear as can be.,
1345,,"If I had to buy another computer, I would most definetly buy an acer one computer.",
1346,,"Heck, if I had enough ' money, I would but it as a gift for someone.",
1347,,Im glad that it has such great features in it.,
1348,,It also came with a built it web cam which is great because I can see an communicate with my family members back home.,
1349,,Clear picture on it and everything.,
1350,,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",
1351,,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",
1352,,Its good for playing my apps on Facebook or watching movies.,
1353,,Im very happy with this computer!,
1354,,for the price this is a super product out of the box.,
1355,,It wont wow you with its speed but who can complain at $249.,
1356,,plus this computer comes with a full size keyboard.,
1357,,NO junkware!!,
1358,,"This computer is great for someone who is looking to manage their online life(banling, facebook etc) and some basic offline work using MS Office.",
1359,,the only drawback is no DVD player.. but for $20 you can buy an external one,
1360,,I have had this laptop for a few months now and i would say im pretty satisfied.,
1361,,The only problems are the sound isnt very loud I have to wear headphones.,
1362,,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,
1363,,That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,
1364,,It took a little over 2 weeks until i got it back.,
1365,,ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke.,
1366,,I babyed the heck out of it and i still do.,
1367,,To be honest i think it was faulty equipment or something but idk.,
1368,,The graphics are great.,
1369,,The internet speed is spectacular.,
1370,,The battery life is probably an hour at best.,
1371,,Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,
1372,,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,
1373,,I wish the volume could be louder and the mouse didnt break after only a month.,
1374,,Amazing machine.,
1375,,"It is a big big, but since it has a 18.4"" screen what would you expect!",
1376,,It is truly a Desktop Replacement.,
1377,,Very fast and efficient!,
1378,,Does a great job with video shot on a Canon 5D MKII.,
1379,,Very happy with my 7th Toshiba laptop!,
1380,,Not bad.,
1381,,"Nice and light, seems to help your work instead of becoming work itself.",
1382,,Perfect size for me.,
1383,,"Probably not a gaming machine, which I have zero interest in.",
1384,,This is a great home computer.,
1385,,"It is very, very quiet.",
1386,,"The only reason I didn't give it a 5 star is, I feel I have to reach so far to type on the key board.",
1387,,You also have to press firmly on the keys.,
1388,,Otherwise this is a great computer great prices.,
1389,,This is an ok computer.,
1390,,The processor shows a speed of 1.7gz.,
1391,,The sound is disappointing.,
1392,,No bass sound at all.,
1393,,Maybe this one is just a dud.,
1394,,This is a big disappointment.,
1395,,"I only use a laptop for personal use, but this one can't even handle that!",
1396,,It takes a long time to load any page.,
1397,,I've had it for a minth and so far it's shut down completely 3 times.,
1398,,Had to call Dell to get it back online.,
1399,,"I have had Dell Desktops for years, so had no qualms about buying a Dell laptop.",
1400,,Never again.,
1401,,This netbook went bad on me after 3 days.,
1402,,There is a blank lighted screen when I start and that is all.,
1403,,I am also upset with CR for giving a good rating.,
1404,,"This is my second laptop,and it is head and shoulders above my first.",
1405,,It has easy to use features and all the speed and power I could ask for.,
1406,,True quality at a great price!,
1407,,This is not my first Dell laptop.,
1408,,"I've owned other models, as well.",
1409,,This one doesn't seem to be the same quality as ones I have purchased before.,
1410,,The plastic materials are rather cheap.,
1411,,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",
1412,,I love the keyboard.,
1413,,Most laptops and notebooks are difficult to key on.,
1414,,This unit is not.,
1415,,"I just got this laptop for college, and so far I am very happy with it.",
1416,,I really wanted a Mac over a pc because I used a Mac in high school.,
1417,,It is so much easier to use,
1418,,I love this little one.,
1419,,The keyboard has a wonderful nature feel.,
1420,,I like it better than my big Dell Laptop.,
1421,,Seriously considering a larger laptop to replace the Dell,
1422,,power supply went bad after 2 weeks --,
1423,,after much effort and 10 days ASUS replaced it,
1424,,The WiFi is very weak.,
1425,,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",
1426,,Summary: Spend your money elsewhere,
1427,,"Never any doubt I would get a MacBook, just wasn't sure which one.",
1428,,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",
1429,,The performance is awesome.,
1430,,I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.,
1431,,"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",
1432,,"It crashes, and when it goes flat, it just DIES (like a PC, maybe worse) and I loose all my open documents!",
1433,,I Hate it!,
1434,,"This is the first time that I tried and owning a netbook although I have used 3 different laptops in the past 10 years, I find not much difference except of course for the screen size.",
1435,,But the screen size is not that bad for email and web browsing.,
1436,,I like this machine because its very lightweight...,
1437,,very convenient when you travel and the battery life is excellent...,
1438,,10 hours of battery life is really something else....,
1439,,I highly recommend that you buy this product.,
1440,,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,
1441,,"Three weeks after I bought the netbook, the screen quit working.",
1442,,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,
1443,,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",
1444,,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",
1445,,Bought this gateway M-50 or 150 early 2007.,
1446,,"A MONTH LATER, we reinstall the OS (Vista).",
1447,,"A coupla months later, they change my hard drive.",
1448,,"A month or so ago, the freaking motherboard just died.",
1449,,Went silently.,
1450,,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",
1451,,THE MOTHERBOARD IS DEAD !,
1452,,"And I'm still paying the bloody financing, for a product which didn't last me at least three years !",
1453,,This computer is good for 10 days then it sucks for the rest of your life.,
1454,,"Don't waste their money, save it and but a mac.",
1455,,You will regret it if you buy any dell.,
1456,,Dell sucks,
1457,,"It has far exceeded my expectations for power, storage, and abilitiy.",
1458,,It is easy to navigate and update programs.,
1459,,"My kids have to take their PCs in once a year to have them ""de-bugged"".",
1460,,I've never had problems with viruses.,
1461,,My next laptop will also be a Mac!,
1462,,Biggest piece of junk I have ever purchased.,
1463,,Bought it for my wife as a birthday present having owned a Dell in the past which was a great computer.,
1464,,This clunker however stopped working after only two weeks of having it delivered.,
1465,,It would have a full charge yet would turn itself off for no explainable reason after being on for 5 minutes.,
1466,,I promptly sent it back for an exchange thinking this was just a bad one and surely the next one would be fine.,
1467,,"The second one, after a little over a month, refused to turn on even with a full charge.",
1468,,And I have pictures on there with no way to retrieve them!,
1469,,What a lemon!!,
1470,,Sells for the same as a netbook without sacrificing size.,
1471,,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,
1472,,Great wifi too.,
1473,,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",
1474,,It's truly a great laptop for the price.,
1475,,I built my own gaming pc with a intel i5-4590 in it and a gtx 760 so I know what crazy performance on a computer can come to.,
1476,,"However, this laptop far exceeded my expectations when I bought it for college, I only use Malwarebytes and Microsoft Security Essentials, run a virus scan maybe once a week and it has ran smoother than butter for the past two years.",
1477,,"For $250, which is as much as my graphics card alone cost, this laptop is an incredible value.",
1478,,"It is quite impressive at multitasking, which really surprised me.",
1479,,I can have tabs open while playing YouTube videos and it handles it impressively well.,
1480,,"BUT I should tell you that this laptop does not have the best screen, it's certainly good enough for the average person, but if you're used to good screens this may bother you a bit, but it's certainly not unbearable by anyone's standards.",
1481,,"If you want to game, this thing can handle League of Legends on medium-low settings, but I certainly wouldn't recommend it for gaming.",
1482,,"Overall, a great laptop for simply doing basic things and web-browsing.",
1483,,"Would definitely recommend for those who are ""technologically ignorant""",
1484,,"The laptop itself is very good, it could be better, but not bad at all for it's price point.",
1485,,It does everything I need.,
1486,,The big deal with this was Windows 7.,
1487,,"I had searched everywhere for a Windows 7 laptop, and all I could find was that awful Windows 8.",
1488,,When I saw this I grabbed it.,
1489,,It has met all my needs.,
1490,,"First, it does not have a push button to open the lid.",
1491,,It is held in place magnetically.,
1492,,There is a little indent to help open it - but good luck with that.,
1493,,"Once open, the leading edge is razor sharp.",
1494,,This is the complete opposite to an ergonomic design.,
1495,,Using this machine is like a mild form of torture.,
1496,,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",
1497,,The much lauded combined touch pad and clicker is a nightmare.,
1498,,I lost two items I was working on until I figured out what was happening.,
1499,,"Also, the space bar makes a noisy click every time you use it.",
1500,,"I hate to say this, but if I could take this back to the shop and get my money back, then I would.",
1501,,"It is absolutely horrible to use, despite all its so called advanced features.",
1502,,I regret buying it before understanding how awful it is to use.,
1503,,"Buy this if you like being tortured, teased, frustrated and wasting twice as much time as you spent using your old Mac.",
1504,,It's a bummer and one out of five is being kind.,
1505,,My Mac has gone from being a trusted friend to an adversary.,
1506,,I'm going to try and keep my old G4 on the road for as long as possible.,
1507,,"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.",
1508,,This is a great value for the money.,
1509,,We purchased this as a back up computer after our more expensive HP needed to be repaired.,
1510,,This is a great computer.,
1511,,We haven't had any problems with it at all.,
1512,,The body is a bit cheaply made so it will be interesting to see how long it holds up.,
1513,,"Overall though, for the money spent it's a great deal.",
1514,,My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,
1515,,So we exchanged it for the same on and after 2 hours it didn't work.,
1516,,I went with him and we picked this one.,
1517,,"It is made better, thicker, and all out tough!",
1518,,I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!,
1519,,"I love the easy to see screen, and It works well for work, persoal or just play.",
1520,,I tell everyone I see out looking to get this or another Toshiba.,
1521,,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",
1522,,My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,
1523,,"I just love this lap top, I just wish it were all silver or they had all black.",
1524,,That is my only complaint!,
1525,,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,
1526,,WOULD PAY MORE FOR IT IF I HAD TOO!,
1527,,"Okay, let's just start out by saying I am in no way a computer techy.",
1528,,"I am a wife, mom and a school teacher and a college student.",
1529,,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",
1530,,I work on a PC at home and have used Pc all through college.,
1531,,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",
1532,,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.,
1533,,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,
1534,,My brother is a computer wiz and would laugh at me because he used an Apple.,
1535,,"Finally, I couldn't take it anymore and ordered my Apple.",
1536,,"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",
1537,,"I love my Apple, it is quick and easy to use.",
1538,,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",
1539,,I can't say enough of how satisfied I am with their product and help aftermarket.,
1540,,Money and time well spent!,
1541,,Highly recommended!,
1542,,"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.",
1543,,I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.,
1544,,"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.",
1545,,"Call tech support, standard email the form and fax it back in to us.",
1546,,"I called back to ensure that received it, they had.",
1547,,But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!,
1548,,Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,
1549,,This was the 3rd day and part still had not been shipped.,
1550,,Asked the customer service rep.,
1551,,"If it's not shipped on the next business day, called on a Friday they are closed on weekends, what was the next step.",
1552,,"The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.",
1553,,Was searching online for a power supply when I found this site.,
1554,,I'm tired of the inept service.,
1555,,If you are looking for a netbook pc DO NOT BUY FROM ASUS!!!,
1556,,Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,
1557,,I'M REALLY FRUSTRATED BY THIS EXPERIENCE.,
1558,,HOW DOES THE POWER SUPPLY NOT WORK!!!,
1559,,"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",
1560,,I bought this laptop the moment unibody product came to the market.,
1561,,"I also bought one for my wife, and 3 for my office.",
1562,,"They are wonderful, but very dangerous when it comes to emitting heat.",
1563,,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.",
1564,,"I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.",
1565,,"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",
1566,,"You might think, I am new in this game, but I am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.",
1567,,I also experience the same with my MacBook Air.,
1568,,"So you might ask, what did Apple do for me?",
1569,,"For my burn thigh which has put a permanent mark on my skin (it happened 7 months ago) they offered me an ITouch 8Gig (you know it is a bit insulating when a company this rich, offer a loyal customer like me, a bottom of their product line as a gift for events like this).",
1570,,"Steve Jobs, probably needs help and donations, and cannot afford a reasonable offers for people that truly are trying to support his baby.",
1571,,"The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply  to make as much money as possible, as fast as they can, and in this day and age, the customer no longer is right all the times.",
1572,,Sad very SAD.,
1573,,"From the start, when you open the box you see a completely different class of machine.",
1574,,The ease in which you set everything up is such that a child could do it.,
1575,,"The screen is bright and clear, the operating system is solid and friendly to a novice.",
1576,,"Fast, fast and fast, the web pages just fly by.",
1577,,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",
1578,,That includes transferring my music and movies.,
1579,,Good bye BLUE SCREEN and Critical errors!!!!,
1580,,Skype is just so dang cool with this machine too.,
1581,,I can hardly wait to see whats around the next corner.,
1582,,"My Iphone synced right up just like a person would expect, unlike the PCs in our lives.",
1583,,If only Bill Gates would read some of what is said here MS would do a better job.,
1584,,"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",
1585,,It is light and the battery last a very long time.,
1586,,Very fast boot up and shut down.,
1587,,Purchased it for my birthday and love it!,
1588,,I've been a loyal Dell user for quite some time.,
1589,,But every six months my Dell computer crashes.,
1590,,"Since I also do a lot of writing and illustrations using Adobe products, I thought I would try a Mac.",
1591,,I'm so glad that I have.,
1592,,It's been a very easy transition moving my Windows created files over to the Mac.,
1593,,So far I haven't lost any quality or information.,
1594,,I have a little bit of a learning curve with the keyboard shortcuts.,
1595,,"But other than that, I really am loving the quality and speed.",
1596,,"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.",
1597,,The computer blinks it shuts off at will.,
1598,,The letter A stopped working after the first week.,
1599,,when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,
1600,,not the day received.,
1601,,so the fact that the computer does not work on the 24 twenty fourth day is my fault.,
1602,,they have done absolutely nothing to fix the computer problem.,
1603,,they have not sent a new one nor called.,
1604,,i spent eight hundred dollars from a giant paper weight that looks good on a bus.,
1605,,then on top of it all their cusromer service center is in the middle east.,
1606,,So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand.,
1607,,"Then to make matters worst, there is noone that they can transfer you to.",
1608,,its sad because their commercials are great.,
1609,,I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.,
1610,,It still serves me well both in business and home needs.,
1611,,"It is, however, very heavy.",
1612,,I recently purchased the mini and absolutely love it!,
1613,,It meets all my needs for work and pleasure while traveling.,
1614,,I am totally satisfied with my little toshie!,
1615,,I've always sworn by dell.,
1616,,My very first laptop was a dell and it never failed me.,
1617,,"It was stubborn as hell, no amount of dust or slipping to the ground phased it.",
1618,,It worked super fast and got the job done.,
1619,,"So with this new order, all the upgrades and windows 8 really caught my eye and I got this for the long haul.",
1620,,I am not ultra tech savvy but I can tell when it works slow!,
1621,,All I needed this for was to do some typing and simple internet browsing and maybe watching netflix here and there.,
1622,,I barely have any files or downloads and its almost impossible to get this thing to load.,
1623,,I know its not my internet connection because I have an HP as well and its like lightening even with the mass of data and info I have on it.,
1624,,I'm so disappointed.,
1625,,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",
1626,,It's priced very reasonable and works very well right out of the box.,
1627,,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",
1628,,(I found a 2GB stick for a bit under $50),
1629,,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.",
1630,,My ONLY issues are:,
1631,,the screen/video resolution won't increase to a higher resolution then 1024 x 60,
1632,,"That being said, it still runs video in full screen decently.",
1633,,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",
1634,,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",
1635,,I simply got tired of a bad computer like windows with its constant freezing and anti-virus.,
1636,,I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,
1637,,Now that I have it I see that I really needed this for much more.,
1638,,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",
1639,,I have not had a problem with the applications quitting or freezing.,
1640,,I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,
1641,,"Take the simple, easy solution to your computer problems and stop waiting and smacking your old computer around.",
1642,,Being a PC user my whole life....,
1643,,This computer is absolutely AMAZING!!!,
1644,,10 plus hours of battery...,
1645,,super fast processor and really nice graphics card..,
1646,,and plenty of storage with 250 gb(though I will upgrade this and the ram..),
1647,,This computer is really fast and I'm shocked as to how easy it is to get used to...,
1648,,I've only had mine a day but I'm already used to it...,
1649,,MACS ARE AMAZING!!!,
1650,,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,
1651,,I am really not happy with this computer...,
1652,,The keyboard is not as easy to use as my old Sony...,
1653,,I don't like WINDOWS 8 but that is no fault of the computer but the keyboard is so hard to get the keys to work and the space bar.,
1654,,Would not buy it again.,
1655,,The worst computer I have ever laid my eyes upon.,
1656,,"Firstly, it has no leds to let you know what is going on, no cap lock, no hard drive indicator, nothing.",
1657,,"Ok, one light to let you know if the damn thing is on.",
1658,,"The biggie though is the fact that it disconnects from the internet whenever if feels like it, even when the strength bar is filled.",
1659,,"Also, when you try to download a large file, like a video, it will start out normally, downloading at around 600kb/sec and over the course of a couple of minutes will slow waaaaaay down to around 20kb/sec, making a download of a couple minutes into several hours making it worthless.",
1660,,Get a probook instead.,
1661,,Killer computer.,
1662,,Replaced a 10 year old HP that never gave us a lick of trouble.,
1663,,I would highly recommend this computer it is FAST!!!,
1664,,Doesn't have touch screen but I have a tablet so that wasn't so important.,
1665,,"Great battery, speed, display.",
1666,,It WORKS!,
1667,,I always swore by PCs and would never consider a MAC.,
1668,,"As it turns out, I just didn't know any better.",
1669,,My house is now 100% Macbook.,
1670,,"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",
1671,,THIS is what a laptop is supposed to be.,
1672,,The only pro to this computer is it was under $600!,
1673,,Everything is falling apart internally and externally.,
1674,,"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",
1675,,With in weeks of purchasing my computer is began to slow down.,
1676,,"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",
1677,,Nightly my computer defrags itself and runs a virus scan.,
1678,,"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.",
1679,,"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",
1680,,"I have Vista, so I am unable to install and uninstall  some programs.",
1681,,I can't even install one of the 3 printers I have in my house so I am unable to print.,
1682,,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",
1683,,In short I would never buy a Compaq again.,
1684,,"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",
1685,,It is the easiest computer I have ever used,
1686,,I have had some excellent computer and have found I had no idea what to do with them,
1687,,"I saw this one, and I have the most difficult time trying to use them, they've made great dust collectors, I hate putting this computer down",
1688,,I LOVE IT!,
1689,,I can't say enough good for it!,
1690,,I've always owned a PC and decided to try a MacBook to see what it's all about.,
1691,,I love it!,
1692,,I'm so glad I purchased a Mac and not another PC!!!,
1693,,They definitely have a superior product!,
1694,,From the second you open the box you will fall in love with this computer!,
1695,,The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,
1696,,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",
1697,,"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",
1698,,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",
1699,,Apple continues to shine and provide a much more enjoyable computer experience!,
1700,,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,
1701,,The Computer itself is a good product but the repair depot stinks.,
1702,,I have had to send in my laptop three times to get it fixed.,
1703,,Two of the times was in one month.,
1704,,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,
1705,,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,
1706,,I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,
1707,,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,
1708,,As well as having the plug in the computer come loose.,
1709,,This has happened three times so far.,
1710,,Two times with in one month.,
1711,,"I am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little, while driving a car and carrying it into where ever you are using it.",
1712,,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,
1713,,It still seems to be a little lose now but so far seems to be hanging in there.,
1714,,The apple MacBook is the best investment that I have ever made.,
1715,,I previously owned a Toshiba and it only lasted about 2 years.,
1716,,The newer MacBook that I have purchased is one of the best computers.,
1717,,I am a college student and it has been very useful.,
1718,,It has all the features that are necessary for college and if not they are able to be added onto the computer.,
1719,,It has a lot of memory and a great battery life.,
1720,,It is sleek and lightweight and charges quickly when needed.,
1721,,Its white color is stylish for college students and easy to take to carry and take to classes.,
1722,,Iphoto is great for adding pictures right to facebook and other social networking sites.,
1723,,The internet capabilities are also very strong and picks up signals very easily.,
1724,,It was secure and easy to navigate.,
1725,,It is everything that I would want in a computer.,
1726,,"Besides the great look, it is a great machine.",
1727,,I would definitely not go back to using a PC after using the mac.,
1728,,Once again apple stands alone at the top of the charts.,
1729,,I'm already hooked on the sleek look and dependability that this laptop has shown.,
1730,,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",
1731,,The unibody design is edgy and durable.,
1732,,The LED backlit display makes my pictures pop so much more.,
1733,,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,
1734,,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",
1735,,A key contributor that led me to Mac is the art aspect.,
1736,,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,
1737,,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,
1738,,It's more expensive but well worth it in the long run.,
1739,,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,
